"Organization Name", "Address", "Phone", "Fax", "Email", "Website", "Contact", "Age Groups", "Languages Spoken", "Fees", "Service Hours", "Services Provided"
"Homeless Children's Network", "3265 17th Street, Suite 404, San Francisco, CA 94110",  "(415) 437-3990","(415) 437-3994","info@hcnkids.org","www.hcnkids.org","","0 ­ 24 years old","Cantonese, English, Mandarin, Spanish","None","Monday ­ Friday, 9:30am - 6:00pm","The Homeless Children's Network (HCN) provides comprehensive mental health services, case management, and family support services for homeless children, youth, and their families throughout San Francisco. HCN provides violence response prevention programs, analyzes the impact of violence on children, provides shelter-based child care consultation, and offers community development and education programs, including self-empowerment groups and health-related trainings. The families served represent a rich array of ethnicities and cultural backgrounds."
"Homeless Prenatal Program", "2500 18th Street, San Francisco, CA 94110",  "(415) 546-6756","(415) 546-6778","info@homelessprenatal.org","www.homelessprenatal.org","Martha Ryan, Executive Director","All ages","English, Spanish","None","Monday ­ Thursday, 9:00am - 5:00pm; Friday, 1:00pm - 4:00pm, Closed for lunch; Intake hours: 9:00am - 11:00am, 1:00pm - 3:00pm","The Homeless Prenatal Program provides support services to homeless and low-income pregnant and parenting women, including counseling and support groups, assistance with emergency/transitional permanent housing, food and clothing, immigration assistance, and family reunification. The Program also offers counseling for domestic violence and substance abuse, and referral services for prenatal care, well-child exams, vaccinations, and preventive health care. The Program offers a training program for formerly homeless women to become community health workers."
"Horizons Unlimited of San Francisco, Inc.", "440 Potrero Avenue, San Francisco, CA 94110",  "(415) 487-6700, TDD: (415) 318-8026","(415) 487-6724, (415) 487-6730","info@horizons-sf.org","www.horizons-sf.org","","14 ­ 17 years old","English, Spanish","None","Monday - Thursday, 10:00am - 7:00pm; Friday, 10:00am - 6:30pm","Females Against Violence (FAV) is a peer education program of Horizons Unlimited that is comprised of young women ages14-17. The young women are paid and trained to become Peer Educators on issues dealing with dating and domestic violence. Graduates then share their knowledge with their peers through educational and prevention presentations at schools and in the larger community. Young Women Arise (YWA) is a collaborative effort of several social services and City government agencies in San Francisco. YWA's emphasis is on the Latina and African American communities. Services include a day treatment program for substance abuse and behavioral needs, an outpatient program, skill development and employment program, tutoring, ESL classes, recreation, leadership development, peer leadership training, prevention education, inhalant prevention, AIDS/HIV education and early intervention. YWA also offers individual, group and family counseling, and on-site therapy services."
"Huckleberry Youth Programs, Inc.", "3310 Geary Boulevard, San Francisco, CA 94118",  "(415) 668-2622, TTY: 1-800-735-2929","(415) 668-0631","hyp@huckleberryyouth.org","www.huckleberryyouth.org","","11 ­ 24 years old","English, Spanish","None","Office Hours: Monday - Friday: 9:00am - 5:00pm","Huckleberry Youth Programs engage adolescents and their families in San Francisco and Marin Counties in a comprehensive array of quality services addressing prevention and health promotion, crisis intervention, stabilization and growth. The Programs seek to empower young people to develop and maintain healthy relationships, as well as promote their talents, ideas, leadership and health, in order to assist youth and their families in overcoming the obstacles they may encounter. Huckleberry Youth Programs is a community-based youth agency, providing critical and effective services to homeless, runaway and other at-risk youth in San Francisco and Marin counties through seven distinct, but interrelated programs: Huckleberry House 1292 Page St., San Francisco, CA 94117 Huckleberry's Wellness Academies, Huckleberry Multiservice Center, Huckleberry Teen Health Program at Montecito Plaza, and The Lioness Girls Program: 555 Cole St., San Francisco, CA 94117 Community Assessment and Referral Center 44 Gough St., Suite 104, San Francisco, CA 94103"
"Human Services Agency", "170 Otis Street, San Francisco, CA 94103",  "(415) 557-5000, (415) 558-1000, Child Abuse Hotline: 1-800-856-5553","(415) 431-9270","","http://www.sfhsa.org/","Varies by program, please contact central operator","All ages","English, others vary depending on program","None","Monday ­ Friday, 8:00am - 5:00pm","HSA administers federal, state, and county mandated programs: CalWORKs - financial assistance and job training and support services (e.g. child care, mental health and substance abuse counseling) for very low-income families; Personal Assisted Employment Services - financial assistance and job training and support services (including mental health and substance abuse counseling) for very low-income adults without dependents; Medi-Cal - determines eligibility for the state's medical insurance program for very low-income individuals or families; Food Stamps - coupons to purchase food for very low- income individuals or families; In-Home Supportive Services - provides in-home care for the aged, blind, or disabled; Housing and Homeless Program - provides emergency shelter, transitional and permanent housing, as well as financial assistance for eviction prevention; County Adult Assistance Programs - cash aid to very low- or no- income adults without dependents; Child welfare services - protective services for children at risk of abuse or neglect through foster care placement, adoptions, and independent living for foster youth."
"Hunter's Point Community Youth Park", "200 Middle Point Road, San Francisco, CA 94124",  "(415) 285-1415","(415) 285-4519","hamptondistrict@yahoo.com","http://bayviewmagic.org","Rodney Hampton Jr.","6 to 17 years old, and senior citizens","English, Samoan, Tagalog (Please call ahead to verify language- specific staff are available)","None","Tuesday - Friday, 9:00am -12:00pm; Saturday, 9:00am ­ 4:00pm","Hunters Point Community Youth Program (HPCYF) provides youth with educational, recreational and cultural programs. HPCYF provides much needed services on school holidays, school development days and every Saturday of the month. HPCYF offers children classes in Afro-Haitian dance, ballet, macramé, and sewing, as well as tutoring in reading, math and the sciences. Summer programs include volleyball, baseball, kickball and tennis, as well as numerous field trips. The program also provides a breakfast program serving a nutritious meal with an educational component."
"Independent Living Resource Center", "649 Mission Street, 3rd Floor, San Francisco, CA 94105",  "(415) 543-6222","(415) 543-6318","info@ilrcsf.org","www.ilrcsf.org","Jessie Lorenz, Executive Director","All ages with disabilities","Chinese, English, Spanish","None","Monday ­ Thursday, 9:00am - 4:30pm; Friday, 9:00am - 4:00pm","Independent Living Resource Center (ILRC) provides services to people with disabilities who want to live independently, including advocacy, SSI/SSDI counseling, peer counseling, housing assistance, information and referrals, and community education. ILRC also assists with managing personal attendants, gaining access to employment, and emergency preparation. In addition, ILRC offers a peer support group for women."
"Ingleside Community Center", "1345 Ocean Avenue, San Francisco, CA 94112",  "(415) 587-5513","(415) 587-4601","","","Lyn Reddicks, Administrator","All ages","English","None","Monday ­ Thursday, 3:00am - 6:00pm","The Ingleside Community Center offers technology and employment training, cultural arts enrichment, crime prevention activities, positive recreational activities, cultural diversity activities, academic tutorial assistance, health services referrals, and other youth support services as needed."
"Institute on Aging's Center for Elderly Suicide Prevention", "3575 Geary Boulevard, San Francisco, CA 94118",  "(415) 750-4111, Toll free: (877) 750-4111","(415) 750-5337","info@ioaging.org","www.ioaging.org","","Elderly and their families","English, Spanish, Russian, Chinese and others","Sliding scale, Medi-Cal insurance accepted","Monday ­ Friday, 9:00am - 5:00pm","The Elder Abuse Prevention (EAP) Program offers affordable, compassionate and innovative health and social services to seniors and their families. The Psychotherapy Program offers multidisciplinary abuse case consultation and review, professional training, education, and service coordination."
"Instituto Familiar de la Raza, Inc.", "2919 Mission Street, San Francisco, CA 94110",  "(415) 229-0500","(415) 647-0740","estela.garcia@ifrsf.org","www.ifrsf.org","Dr. Estela Garcia DMH (Executive Director) German Walteros, LMFT (Associate Director","All ages","English, Spanish","Serve uninsured clients, Medi-Cal, MediCare, Healthy Families, and","Healthy Kids. Typically, we charge a sliding fee. Monday ­ Friday, 8:00am - 7:00pm; Saturday, 9:00am - 2:00pm","The Institututo Familiar de la Raza provides direct services, such as mental health assessments, evaluation and therapy, counseling (individual, couples, family and group), and HIV prevention/education for gay/bisexual men and women. Indirect services provided include non-mental health consultations, spiritual and cultural activities."
"International Institute of the Bay Area", "657 Mission Street, No. 301, San Francisco, CA 94105",  "(415) 538-8100","(415) 538-8111","admin@iibayarea.org","www.iibayarea.org","Ellen Dumesnil, Executive Director","All ages","Croatian, English, Russian, Spanish,","English tutoring: Fixed charge","Office Hours: Monday - Friday, 8:30am - 5:00pm","The International Institute of San Francisco protects the rights of immigrants and refugees by educating the public about immigration and offering legal assistance to immigrants and refugees. The Institute also provides ESL and citizenship classes, facilitates family reunification, assures access to resources, and offers immigration law counseling. Other Bay Area Offices: Oakland Office (510) 451-2846 405 14th St. Suite 500, Oakland, CA 94612 Redwood City (650) 780-7530 2600 Middlefield Rd., Redwood City, CA 94063 Antioch (925) 237-8581 3240 Lone Tree Way, Suite 202, Antioch, CA 94509"
"Iris Center/Women's Counseling and Recovery Services", "12 Gough Street, San Francisco, CA 94103",  "(415) 864-2364","(415) 864-0116","pgrimm@iriscenter.org","www.iriscenter.org","Pamela V. Grimm, MS, RAS, Program Director","18 years old and older","English, Spanish","Sliding scale","Monday ­ Friday, 9:00 am - 5:00 pm; closed first and last Tuesday of the Month","Iris Center provides specialized, affordable counseling regarding mental health, substance abuse, and HIV prevention to low-income women and their families. The Center also provides support services, such as child care, parenting classes, and vocational counseling. The Genesis Program offers services for dually diagnosed (substance abuse and mental disorder) and triply diagnosed (substance abuse, mental health and HIV) women and their children who are homeless, or at risk of becoming homeless. The Iris Center places special emphasis on serving women of color, lesbians, and single mothers."
"Italian Community Services", "678 Green Street, San Francisco, CA 94133",  "(415) 362-6423","(415) 362-3565","ampierini@italiancs.com","www.italiancommunityservices.org","Anna Maria Pierini, Executive Director (415) 362-6423 EX 11","All","Italian, English","None","Call for more information.","Italian Community Services provides Bay Area Italian-American seniors and families with trusted resources to help them live healthy, independent and productive lives. Italian Community Services is committed to honoring and preserving the Italian language and culture, with an emphasis on the strength and support that comes from family, community, education and goodwill."
"Jamestown Community Center", "3382 26th Street, San Francisco, CA 94110",  "(415) 647-4709","(415) 647-4718","","jamestownsf.org","","Youth and their Families","Spanish, English","None","Call for more information.","Jamestown Community Center provides youth with as many positive experiences as they need in order to grow up healthy and productive. Jamestown aims to keep youth safe, active, learning, and involved."
"Janet Pomeroy Center (Formerly Recreation Center for the Handicapped)", "207 Skyline Boulevard, San Francisco, CA 94132",  "(415) 665-4100 (415) 665-4107","(415) 665-7543","jmccue@janetpomeroy.org","","John Mccue, Executive Director","All ages","English","Call for information","Office Hours: Monday - Friday, 9:00am - 5:00pm; Program Hours Vary","The Janet Pomeroy Center provides recreation and leisure services for individuals of all ages, with all types of disabilities. Activities include arts and crafts, music, drama, adult education classes, computer skill classes, adapted sports and swimming, and community outings."
"Japanese Community Youth Council", "2012 Pine Street, San Francisco, CA 94115",  "(415) 202-7900","(415) 921-1841","info@jcyc.org","www.jcyc.org","","5 ­ 18 years old and families","Cantonese, English, Japanese, Samoan, Tagalog, Vietnamese","None, except some summer programs","Monday ­ Friday, 9:00am - 5:00pm","The JCYC provides emotional and educational counseling, client advocacy, and recreation programs. Community education and presentations are also available. Counseling is offered for domestic violence prevention and substance abuse. Education and college preparation programs are available, as well as child care and employment referrals, and youth employment services."
"Jelani House", "1601 Quesada Avenue, San Francisco, CA 94124",  "(415) 822-5977","(415) 671-1042","admin@jelaniinc.org","www.jelaniinc.org","","18 years old and older","English, Spanish","None","24/7","Jelani House offers substance abuse treatment for pregnant and postpartum women and women with children up to age 5. Counseling is offered regarding domestic violence, substance abuse, stress management, and parenting. Jelani House also provides child care and employment referrals."
"Jewish Family and Children's Services of San Francisco, the Peninsula, Marin, and Sonoma", "The Miriam Schultz Professional Building",  "(415) 449-1200","(415) 449-3839","admin@jfcs.org","www.jfcs.org","Dr. Anita Friedman, Executive Director","All ages","English, French, Hebrew, Polish, Russian","None","Monday ­ Friday, 8:30am - 8:00pm","Jewish Family and Children's Services (JFCS) offers a wide variety of services to adults and families, children, teens, seniors, and recent immigrants. JFCS offers specialized services to people with specific needs, such as people with disabilities, individuals with HIV/AIDS, individuals with substance abuse problems, and lesbian, gay, bisexual, and transgender people. Other services include employment assistance, case management, community outreach and education, and support groups and counseling. Women-specific services include domestic violence services and Dream House, a transitional housing and intensive support program for homeless women, including single mothers and lesbians. Services also include case management and immigration and legal assistance for victims of human trafficking."
"Jewish Family and Children's Services of San Francisco, the Peninsula, Marin, and Sonoma", "2150 Post Street, San Francisco, CA 94115",  "(415) 449-1200","(415) 449-3839","admin@jfcs.org","www.jfcs.org","Dr. Anita Friedman, Executive Director","All ages","English, French, Hebrew, Polish, Russian","None","Monday ­ Friday, 8:30am - 8:00pm","Jewish Family and Children's Services (JFCS) offers a wide variety of services to adults and families, children, teens, seniors, and recent immigrants. JFCS offers specialized services to people with specific needs, such as people with disabilities, individuals with HIV/AIDS, individuals with substance abuse problems, and lesbian, gay, bisexual, and transgender people. Other services include employment assistance, case management, community outreach and education, and support groups and counseling. Women-specific services include domestic violence services and Dream House, a transitional housing and intensive support program for homeless women, including single mothers and lesbians. Services also include case management and immigration and legal assistance for victims of human trafficking."
"Jewish Vocational Service", "225 Bush Street, Suite 40, West Lobby, San Francisco, CA 94104",  "(415) 391-3600","(415) 391-3617","hire@jvs.org","www.jvs.org","","All ages","Bosnian, Cantonese, English, Russian, Spanish","Fixed charge depending on the program","Monday ­ Friday, 9:00am - 5:00pm","JVS links employers and individuals together, building skills needed to succeed in today's workplace. JVS helps individuals achieve self- sufficiency and helps businesses fulfill their employment goals. JVS is non-sectarian, non-profit corporation. JVS is accredited by the Commission on Accreditation of Rehabilitation Facilities (CARF) and the Bureau for Private Post- secondary and Vocational Education (BPPVE). Individuals making the transition into new work environments can benefit from counseling, career assessment, training, retention assistance, re-employment and advancement opportunities, a technology access center offering computer skills building, and youth employment training. Resettlement and comprehensive employment services are available for refugees. JVS also offers specialized services to adults and youth with disabilities."
"Job Forum", "235 Montgomery Street, 12th Floor, San Francisco, CA 94104",  "(415) 392-4520","(415) 392-0485","","www.TheJobForum.org","","All ages","English","None","Every Wednesday evening (except holidays), 6:30pm - 8:30pm","Sponsored by the San Francisco Chamber of Commerce, the Job Forum is a unique and free counseling service for job seekers and career changers. Since 1951, a dynamic panel of volunteers with experience in career counseling and human resources, including hiring executives and managers in a variety of Bay Area industries, have been helping job seekers set goals, reach their job market, and identify opportunities that will result in jobs. Such customized advice has proven effective for thousands of people."
"Kimochi, Inc.", "1715 Buchanan Street, San Francisco, CA 94115",  "(415) 931-2294","(415) 931-2299","kimochikai@kimochi-Inc.org","www.kimochi-inc.org","Anna Sawamura, Program Director","55 years old and older","English, Japanese, Korean","Varies according to service","Monday ­ Friday, 9:00am - 5:00pm","Kimochi, Inc. provides arts and crafts, exercise, case management, transportation, health education, a library, music, nutrition education, congregate and home-delivered meals, bilingual information and referrals, and residential care for elderly individuals."
"Korean Center, Inc.", "1362 Post Street, San Francisco, CA 94109",  "(415) 441-1881","(415) 441-1889","cj@iic.edu","www.iic.edu/content/kci/","Christina Jang","All ages","English, Korean","Sliding scale","Monday ­ Friday, 9:00am - 6:00pm","The Korean Center, Inc. offers seniors a hot meal program and other social services programs. Services for youth, ages 10-19, include after school programs, academic support assistance, and other alternative activities in a safe environment. Drug and substance abuse prevention and education is provided to middle school and high school students in San Francisco school districts. The Korean Center also provides ESL classes, computer classes, Korean language and culture classes."
"La Casa de las Madres", "1663 Mission Street, No. 225, San Francisco, CA 94103",  "(415) 503-0500, 24/7 Crisis Line: 1-877-503-1850, Teen Line: 1-877-923-0700","(415) 503-0301","info@lacasa.org","www.lacasa.org","Kathy Black, Executive Director","All ages","English, Spanish, phone interpretation for all other languages","None","Office: Monday ­ Friday, 9:00am - 5:00pm; Emergency Shelter Intakes: 24/7 (including nights and weekends)","La Casa provides victims of domestic violence with an eight week shelter program, a drop-in counseling center, community support groups, community education outreach and volunteer programs, employment and legal referrals for clients, and a teen intervention and prevention program. La Casa serves all women, teens and their children. Male children and teens are welcome. The location of La Casa's emergency shelter is not available to the public, and therefore women who want to use this service should contact the crisis line (877-503-1850)."
"La Cocina", "2948 Folsom Street, San Francisco, CA 94110",  "(415) 824-2729, ext. 302","(415) 824-2756","info@lacocinasf.org","www.lacocinasf.org","Caleb Zigas, Executive Director","18 years old and older","English, Spanish","Commercial kitchen hourly rate beginning at $15/hour","6:00am -10:00pm 7 days/week","La Cocina assists lower income micro-entrepreneurs in becoming economically self-sufficient and achieving business sustainability by providing an affordable commercial kitchen space, technical assistance, and access to new market opportunities. At full capacity, La Cocina accommodates a maximum of 16 different business tenants, as well as 12 pre-tenants who will use the kitchen and access training and technical assistance on a shorter term basis (3-6 months to further develop their product and business plan). La Cocina's incubator program is limited to qualified applicants. For information about applying: http://www.lacocinasf.org/incubator- program-2/application-process/ La Cocina also has workshops that are open to the public throughout the year: ttp://www.lacocinasf.org/workshops/2012lacocinaworkshops/."
"La Raza Centro Legal", "474 Valencia Street, Suite 295, San Francisco, CA 94103",  "(415) 575-3500, TTY: 711","(415) 255-7593","info@lrcl.org","www.lrcl.org","Genevie Gallegos, Associate Director","All ages","English, Hindi/Urdu, and Spanish","Sliding scale","Monday - Thursday, 10:00am - 12:00pm, 1:00pm - 4:00pm; Fridays 10:00am - 12:00pm; Closed 2 Fridays a month","La Raza Centro Legal is a community-based legal organization dedicated to empowering Latino, immigrant and low-income communities of San Francisco to advocate for their civil and human rights. La Raza Centro Legal combine legal services, organizing, advocacy, and social services to build grassroots power and alliances towards creating a movement for a just society. Services include a day labor program, women's collective, and direct legal services in the areas of immigration law, workers' rights and senior law."
"La Raza Community Resource Center", "474 Valencia, Suite 100, San Francisco, CA 94103",  "(415) 863-0764","(415) 863-1690","info@larazacrc.org","http://larazacrc.org/","Melba Maldonado, Executive Director Mabel Aguilar, Program Coordinator for Social Services","All Ages","English, Spanish","None","Monday - Friday, 9:00am - 12:00pm, 1:00pm - 5:00pm","La Raza Community Resource Center (La Raza) is a bilingual, multi- service, non-profit organization designed to meet the needs of low- income Latino families and individuals in the San Francisco Bay Area. As a family resource center, La Raza offers a wide range of free social services and programs, including case management, family advocacy, linkages with other human service providers, consultations, a food pantry for families, rental assistance, assistance with tax management, weekly support groups, monthly family education seminars and workshops."
"Larkin Street Youth Services", "701 Sutter Street, Suite 2, San Francisco, CA 94109",  "(415) 673-0911 If you are a youth in need of service, please call 1-800-669-6196.","(415) 749-3838","mail@larkinstreetyouth.org","www.larkinstreetyouth.org","Sherilyn Adams, Executive Director","12 - 24 years old","Varies","None","24/7","Larkin Street Youth Services provides a full spectrum of services to help homeless and runaway youth move beyond life on the street. They offer a range of housing options from emergency shelter to permanent supportive housing, in addition to essential wraparound services including education, technology and employment training; healthcare, including mental health, substance abuse and HIV services; and case management."
"Lavender Youth Recreation & Information Center", "127 Collingwood Street, San Francisco, CA 94114",  ": 415-487-7589 www.dimensionsclinic.org (Open Thursday, 5pm ­ 8pm and Saturday, 12pm ­ 3pm)","(415) 703-6153","lyricinfo@lyric.org","www.lyric.org","Denny David, Deputy Director","23 years old and under","English, Spanish, Tagalog","None","Monday - Friday, 11:00am - 6:00pm","LYRIC builds communities and inspires positive social change through education enhancement, career trainings, health promotion, and leadership development with lesbian, gay, bisexual, transgender, queer, and questioning youth, their families, and allies of all races, classes, genders, and abilities. LYRIC's programs fall into three general categories: Community Building, Education and Economic Development, and Health and Wellness. Other programs include an after school program for youth, a toll-free talk line, health education programs, employment training program for youth under age 17, a computer lab and tutoring. Women-specific services include young women's health conference and health education on women's health issues. Dimensions Clinic: Health Services for Queer & Questioning Youth 3850 17th St., San Francisco, CA 94114"
"Lawyers' Committee for Civil Rights of the San Francisco Bay Area", "131 Steuart Street, Suite 400, San Francisco, CA 94105",  "(415) 543-9444","(415) 543-0296","info@lccr.com, mkaufman@lccr.com","www.lccr.com","Michael Kaufman","All ages","Arabic, Cantonese, English, Mandarin, Spanish, and Tagalog","None","Monday - Friday, 9:00am - 5:30pm","The Lawyers' Committee for Civil Rights champions the legal rights of people of color, poor people, immigrants and refugees, with a special commitment to African-Americans. The Lawyers' Committee staff, with the assistance of hundreds of pro bono attorneys, provides free legal assistance and representation to individuals on civil legal matters. In addition, the Lawyers' Committee handles policy impact cases that focus on important civil rights issues."
"League of United Latin American Citizens (LULAC)", "1225 8 Street, Suite 550, Sacramento, CA 95814",  "(916) 551-1330","(916) 448-3248","Egarcia@lulac.org","www.lulac.org","Elizabeth Garcia, Director of National Programs","All ages","English, Spanish","None","Monday ­ Friday, 8:00am - 5:00pm","LULAC is a national organization that promotes the advancement of Latin Americans by providing guidance to local resources."
"Legal Aid Society of San Francisco - Employment Law Center", "180 Montgomery Street, Suite 600, San Francisco, CA 94107",  "(415) 864-8848, Workers' Rights Clinic Information Line: (415) 864- 8208, Toll Free: (866) 864-8208, TTY/TDD: (415) 593-0091","(415) 593-0096","info@las-elc.org","www.las-elc.org","","All ages","Cantonese, English, Mandarin, Spanish","None; based on income guidelines","Monday ­ Friday, 9:00am - 5:00pm; Evening Workers' Rights Clinic (please call for details)","The Legal Aid Society - Employment Law Center promotes the stability of low-income and disadvantaged workers and their families by addressing issues that affect their ability to achieve self-sufficiency. The LSA ELW offers employment related legalservices. The work of the office falls under five programs and eleven projects (see website for specific information): The Community Legal Services Program, The Bay Area Workers' Rights Clinic, The Racial Equality Program, The Affirmative Action Project, The Nontraditional Employment Project, The Gender Equity Program, The Domestic Violence and Employment Project, The Work and Family Project, The LGBT Employment Project, The National Origin, Immigration, and Language Rights Program, The Language Rights Project, Immigration-Related Discrimination, National Origin Discrimination, The Disability Rights Program, and The LIBRA Project."
"Legal Assistance for the Elderly", "995 Market Street, Suite 1400, San Francisco, CA 94103",  "(415) 538-3333","(415) 538-3316","info@laesf.org","http://laesf.org/","Receptionist","60 years old and older/disabled adults 18-59 years old","Cantonese, English, Mandarin, Spanish","None","Monday - Friday, 9:00am - 12:00pm, 1:00pm - 5:00pm","The Elder Abuse Prevention program provides free legal advice and representation to San Francisco residents age 60 and older, including how to obtain and retain Social Security and Medi-Cal benefits, how to avoid physical and financial abuse, tenant advice and representation, consumer and debt collection issues, assistance with evictions, rent control disputes, code violations, foreclosures, and subsidized housing."
"Legal Services for Children, Inc.", "1254 Market Street, 3rd Floor, San Francisco, CA 94102",  "(415) 863-3762","(415) 863-7708","","www.lsc-sf.org","","Under 18 years old","Cantonese, English, Mandarin, Spanish, Tagalog Translation services will be provided for any language needed, with advance notice.","None","Warm Line: Monday - Thursday, 1:30pm - 5:00pm; Clinic Hours: Wednesdays, 4:00pm - 6:00pm; Intake: Monday ­ Friday, 1:30pm - 5:00pm","Legal Services for Children provides free legal and social services to children and youth. The agency provides advocacy and support for adolescent girls, ages 12-17, who are at-risk for, or impacted by, exposure to abuse, violence or harassment, involvement in prostitution, substance abuse, and lack of access to medical or mental health care. The Queer Youth Project provides legal services that positively impact lesbian, gay, bisexual, transgender, and questioning youth needs for shelter, education, and support. The Young Women's Empowerment Project provides gender sensitive advocacy and support to high-risk young women and girls to ensure their safety, stability, and self-determination."
"Legal Services for Prisoners with Children (LSPC)", "1540 Market Street, Suite 490, San Francisco, CA 94102",  "(415) 255-7036 Press "0" for general information","(415) 552-3150","info@prisonerswithchildren.org","www.prisonerswithchildren.org","","All ages","English, Spanish","None","Office Hours: Monday ­ Friday, 9:00am - 5:00pm","LSPC advocates for the human rights and empowerment of incarcerated parents, children, family members and people at risk for incarceration. LSPC responds to requests for information, trainings, technical assistance, litigation, community activism and the development of more advocates. LSPC focuses on women prisoners and their families, and emphasize that issues of race are central to any discussion of incarceration."
"LightHouse", "214 Van Ness Avenue, San Francisco, CA 94102",  "(415) 431-1481","(415) 863-7568","info@lighthouse-sf.org","lighthouse-sf.org","","All","English, Spanish, Translation upon Request","None","Office Hours: Monday ­ Friday, 8:30am to 5:00pm","LightHouse promotes the independence, equality and self-reliance of people who are blind or visually impaired through rehabilitation training and relevant services, such as access to employment, education, government, information, and transportation. LightHouse offers various programs including a blind-leaders program, deaf-blind program, employment immersion program, Enchanted Hills camp, job site conversation series, low vision clinic, and other wellness and enrichment classes."
"Living in a Nonviolent Community", "2356 Sutter Street, First Floor, Suite J112, San Francisco, CA 94115",  "(415) 205-5648, (415) 885-7681, Mondays, Wednesdays, Fridays: (415) 206-5648, Tuesdays and Thursdays: (415) 885-7681","(415) 885-7580","","http://coe.ucsf.edu/linc/","Lynn Dolce, MFT","18 years old and under and their families","English, Spanish","None","Monday ­ Friday, 9:00am - 5:00pm","Living in a Nonviolent Community (LINC) is a comprehensive, community-oriented program that aims to reduce the incidence of domestic violence and its impact on children, youth, and their families. LINC is a hospital-based program which provides services for families affected by violence, including community education and outreach, case Management, clinical assessment and treatment, counseling for families and groups, provider training on the impact of witnessing domestic violence, and school-based student training on the impact of witnessing domestic violence on children. Other Location: San Francisco General Hospital 1001 Potrero Avenue, San Francisco, CA (415) 206-5648"
"Loco Bloco", "3543 18th Street, No. 20, San Francisco, CA 94110",  "(415) 864-LOCO (5626)","(415) 864-5627","locobloco@gmail.com","www.locobloco.org","","18 years old and younger","English, Spanish","None","Tuesday - Friday, 11:00am - 6:00pm","Loco is a youth development organization that promotes San Francisco youth's healthy transition into adulthood by engaging them in the creation and performance of music, dance and theater reflecting the cultural diversity of the Americas. Loco Bloco encourages its youth to use multicultural art forms as a tool for their own empowerment and as a catalyst to help them overcome discrimination and bring about change in their communities. The program provides youth with free, high-quality education and training in percussion, dance, visual arts, theater arts, stilt walking, civic engagement, youth leadership training, and physical and mental health."
"Lutheran Social Services of Northern California (LSS)", "290 8th Street, San Francisco, CA 94103",  "(415) 581-0891","(415) 581-0899","","http://www.lssnorcal.org","","18 years old and older","","None","","In San Francisco, LSS currently provides two primary types of services ­ money management services for formerly homeless adults living with both physical and mental disabilities and case management services for adults, families and seniors living in supportive housing sites. The shared goal of LSS housing services and money management programs is to help clients live a more stable and productive lives. LSS assists their clients in accessing and maintaining safe, adequate and stable housing."
"Lyon-Martin Women's Health Services", "1748 Market Street, Suite 201, San Francisco, CA 94102",  "(415) 565-7667","(415) 252-7512","info@lyon-martin.org","www.lyon-martin.org","","12 years old and older","English, Spanish","None","Monday ­ Friday, 9:00am - 5:00pm","Lyon-Martin offers primary care services for lesbian, gay, bisexual, transgender women, including HIV testing and care, support groups, case management, smoking cessation, safer sex outreach and education, and other health education and support groups."
"Mary Elizabeth Inn", "1040 Bush Street, San Francisco, CA 94109",  "(415) 673-6768","(415) 441-7451","dion@meinn.org","www.meinn.org","Dion Roberts, Executive Director","18 years old and older","Cantonese, English, Mandarin, and Tagalog","For The InRoads Program, rent for women is $278 per month. May vary according to program.","24/7","Mary Elizabeth Inn provides permanent and transitional housing for students, women in recovery, working women, women with disabilities, and formerly homeless women. Services include a food pantry, a weekly farmer's market for residents, and low-income women and children in the community; Housing First Program: A housing program for formerly homeless women; Innroads Program: A post-shelter housing program for female survivors of domestic violence. Residents receive a single room, two meals a day, linen services, and case management as needed; La Case De Las Madres Case Management Program: Support services at the Mary Elizabeth Inn are provided by Las Casa de las Madres; Meal Program: A healthy option for residents and low-income women and children in the community; Supportive Housing Initiative Act Program: A housing program for extremely low- income women with disabilities."
"Mayor of San Francisco", "City Hall",  "(415) 554-6141","(415) 554-6160","mayoredwinlee@sfgov.org","http://www.sfmayor.org/","","All ages","English","None","Monday - Friday, 9:00am - 5:00pm","The Mayor authors the City budget each fiscal year which allows for funding of City departments and activities. The Mayor appoints people to positions in the city government, occasionally with the consent of the Board of Supervisors. S/he also signs legislation into law. The Mayor may also veto legislation and return it to the Board of Supervisors for revision. If there is a vacancy on the Board of Supervisors or another elected office, the Mayor appoints a replacement to fill the vacancy. The Mayor also appoints Commissioners to the more than 50 citizen-driven Commissions that oversee City departments."
"Mayor of San Francisco", "1 Dr. Carlton B. Goodlett Place, Room 200, San Francisco, CA 94102",  "(415) 554-6141","(415) 554-6160","mayoredwinlee@sfgov.org","http://www.sfmayor.org/","","All ages","English","None","Monday - Friday, 9:00am - 5:00pm","The Mayor authors the City budget each fiscal year which allows for funding of City departments and activities. The Mayor appoints people to positions in the city government, occasionally with the consent of the Board of Supervisors. S/he also signs legislation into law. The Mayor may also veto legislation and return it to the Board of Supervisors for revision. If there is a vacancy on the Board of Supervisors or another elected office, the Mayor appoints a replacement to fill the vacancy. The Mayor also appoints Commissioners to the more than 50 citizen-driven Commissions that oversee City departments."
