Agency Name,Program Name,Strategy,Lead Agency Address,Lead Agency District,Lead Agency Zip,Site Name,Site Address,Site Zip,Site Phone,Site District,Site Location,Site School,0-5,'6-13,14-17,Parent,18-21,22-25,18-24,English,Spanish,Mandarin,Cantonese,Korean,Vietnamese,Russian,Filipino (Tagalog),Language Other
Filipino-American Development Foundation,Pin@y Educational Partnerships (PEP) - High School Filipina/o American Experience Course and Mentorship Program,Specialized Teen,4681 Mission St.,District 11,94112,James Denman Middle School,241 Oneida Avenue,94112,-5419,11,Public School,"Denman, James Middle School (6-8)",,X,,,,,,X,X,,,,,,X,
Filipino-American Development Foundation,Pin@y Educational Partnerships (PEP) - High School Filipina/o American Experience Course and Mentorship Program,Specialized Teen,4681 Mission St.,District 11,94112,Phillip and Sala Burton,400 Mansell St,94134,415- 469-4550,10,Public School,"Burton, Phillip and Sala High School (9-12)",,,X,,,,,X,X,X,,,,,X,
Filipino-American Development Foundation,Pin@y Educational Partnerships (PEP) - High School Filipina/o American Experience Course and Mentorship Program,Specialized Teen,4681 Mission St.,District 11,94112,Balboa High School,1000 Cayuga Ave,94112,415- 469-4090,11,Public School,Balboa High School (9-12),,,X,,,,,X,X,X,,,X,,X,
Filipino-American Development Foundation,Pin@y Educational Partnerships After School Cultural Enrichment Program at Longfellow Elementary School,Specialized K-8,4681 Mission St.,District 11,94112,PEP Longfellow Elementary School,755 Morse Street,94112,415-469-4730,11,Public School,Longfellow Elementary School (K-5),,X,,,,,,X,X,X,,,,,X,
Filipino-American Development Foundation,Youth Organizing Home and Neighborhood Action,Youth Led Organizing,1110 Howard Street,District 6,94103,SOMCAN,1110 Howard Street,94103,415-613-3534,6,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,,,,,,X,
First Place for Youth,Youth Employed for Success at First Living Place for Youth Independent Living Skills Program,Youth Workforce Development_JJSI,225 Valencia St,District 9,94103,First Place for Youth ILSP,225 Valencia St,94103,415-934-4230,9,Non-profit's owned or leased space (not faith-based),,,,X,,X,,,X,X,,,,,,,
Flame,Ring of Fire Youth Boxing Club,Specialized K-8,33 Samoset St.,District 9,94111,Crocker Amazon Park,799 Moscow,94112,415-859-5568,11,SF Recreation and Park facility,,,X,,,,,,X,X,,,,,,X,
GASP (Grattan After School Program),SY EXCEL @ Grattan Elementary School,ExCEL Match School Year,165 Grattan Street,District 5,94117,Grattan ES,165 Grattan Street,94117,415.689.4759,5,Public School,Grattan Elementary School (K-5),,X,,,,,,X,X,X,,,,,,
GirlVentures,"On The Rise: Empowering Girls to Build Leadership Skills, Confidence and Cross-Cultural Allies",Specialized Teen,"3543 18th Street, Suite 18",District 8,94110,GirlVentures,3543 18th Street,94110,415-864-0780,8,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,X,,,,,,
GOKID.org,SFKIDS.org,Miscellaneous,P.O. Box 31703,District 8,94123,GoKid.org,P.O. Box 31703,94131,4154698527,8,Other,,,,,X,,,,X,,,,,,,,
Good Samaritan FRC,Good Samaritan Youth Services Program,Specialized K-8,1294 Potrero Ave.,District 9,94110,James Lick Middle School,1220 Noe St,94114,415-695-5675,8,Public School,"Lick, James Middle School (6-8)",,X,X,,,,,X,X,,,,,,,
Good Samaritan FRC,Good Samaritan Youth Services Program,Specialized K-8,1294 Potrero Ave.,District 9,94110,Everett Middle School,450 Church St,94114,415-241-6344,8,Public School,Everett Middle School (6-8),,X,X,,,,,X,X,,,,,,,
Good Samaritan FRC,Good Samaritan Youth Services Program,Specialized K-8,1294 Potrero Ave.,District 9,94110,Buena Vista/Horace Mann,3551 23rd St,94110,415-695-5881,9,Public School,Buena Vista/Horace Mann (K-8),,X,X,,,,,X,X,,,,,,,
Good Samaritan FRC,Good Samaritan Youth Summer Program,Comprehensive K-8 Summer Learning,1294 Potrero Ave.,District 9,94110,Good Samaritan FRC,1294 Potrero Ave.,94110,415-401-4263,9,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,,,,,,,
Good Samaritan FRC,Latino Student Union,Specialized Teen,1294 Potrero Ave.,Unassigned,94110,O'Connell High School,2355 Folsom St.,94110,415-695-5370,9,Public School,"O'Connell, John High School (9-12)",,,X,,,,,X,X,,,,,,,
Good Samaritan FRC,The Vision Academy Afterschool Program at Calvary Hill Community Church,Comprehensive K-8 Community-Based Afterschool,141 Industrial Street,Unassigned,94124,Calvary Hill Community Church,141 Industrial Street,94124,415-886-7591,10,Faith-based organization's space,,X,X,X,,,,,X,X,X,X,,,,,
Good Samaritan FRC,The Vision Academy Chess Club at Tenderloin Community School (Partner Up On Top),Specialized K-8_Assigned,,Unassigned,,,,,,,,,,,,,,,,,,,,,,,,
Growth and Learning Opportunities,GLO at Alice Fong Yu Scholarship Program,Comprehensive K-8 Before and Afterschool Scholarships,"633 Taraval Street, Suite 103",District 7,94116,Alice Fong Yu,1541 12th Ave,94122,415-242-8640,7,Public School,"Yu, Alice Fong (K-8)",,X,,,,,,X,,,,,,,,
Growth and Learning Opportunities,GLO at Chinese Immersion School Scholarship Program,Comprehensive K-8 Before and Afterschool Scholarships,"633 Taraval Street, Suite 103",District 5,94116,GLO @ Chinese Immersion School,1250 Waller Street,94117,415-701-9800,5,Public School,Chinese Immersion School at DeAvila (K-4),X,X,,,,,,X,,,X,,,,,
Growth and Learning Opportunities,GLO at Dianne Feinstein Scholarship Program,Comprehensive K-8 Before and Afterschool Scholarships,"633 Taraval Street, Suite 103",District 4,94116,GLO @ Dianne Feinstein,2550 25th Ave,94116,415-694-0960,4,Public School,"Feinstein, Dianne Elementary School (K-5)",X,X,,,,,,X,,,,,,,,
Growth and Learning Opportunities,GLO at West Portal Scholarship Program,Comprehensive K-8 Before and Afterschool Scholarships,"633 Taraval Street, Suite 103",District 7,94116,GLO @ West Portal,5 Lenox Way,94127,415-242-8641,7,Public School,West Portal Elementary School (K-5),X,X,,,,,,X,,,,,,,,
Growth and Learning Opportunities,Literacy Program for GLO @ Fairmount,SFTEAM_NEW,"633 Taraval Street, Suite 103",Unassigned,94116,,,,,,,,,,,,,,,,,,,,,,,
Growth and Learning Opportunities,SY EXCEL and Scholarship @ Fairmount Elementary School,ExCEL Match School Year,"633 Taraval Street, Suite 103",District 8,94116,GLO @ Fairmount,65 Chenery Street,94131,415-824-1236,8,Public School,Fairmount Elementary School (K-5),X,X,,,,,,X,X,,,,,,,
Health Initiatives for Youth,Aptos Diversionity and Leadership,Teen- Teen- LGBTQQ,1550 Market Street,District 5,94104,Aptos Middle School,"105 Aptos Avenue San Francisco, CA",94127,415-469-4520,7,,Aptos Middle School (6-8),,X,,,,,,X,X,X,X,X,X,X,X,
Health Initiatives for Youth,Denman Diversionity and Leadership,Teen- Teen- LGBTQQ,1550 Market Street,District 5,94102,Denman Middle School,"241 Oneida Avenue San Francisco, CA",94112,415-469-4535,11,,"Denman, James Middle School (6-8)",,X,,,,,,X,X,X,X,X,X,X,X,
Health Initiatives for Youth,Presidio Diversionity and Leadership,Teen- Teen- LGBTQQ,1550 Market Street,District 5,94102,Presidio Middle School,"450 30th Avenue. San Francisco, CA.",94121,415-750-8435,1,,Presidio Middle School (6-8),,X,,,,,,X,X,X,X,X,X,X,X,
HealthRIGHT 360,Aftercare/Aftercare/ Reentry Case Management,Aftercare/ Reentry,2166 Hayes Street Suite 302,District 5,94117,AARS San Francisco Youth Programs,2166 Hayes Street Suite 302,94117,415-776-1001,5,Non-profit's owned or leased space (not faith-based),,,,X,,X,,,X,,,,,,,,
HealthRIGHT 360,Community Response Network,Community Response Network,,Unassigned,,Test Site,4,94104,4,2,Other,,,X,,,,,,,,X,,,,,,
Hearing and Speech Center of Northern California,Listen Up!,Specialized K-8,1234 Divisadero St.,District 6,94115,Listen Up,3850 Divisadero St.,94118,415-749-3516,7,Public School,"Lilienthal, Claire (Winfield Scott Campus) (3-8)",,X,,,,,,X,X,X,X,,,,,American Sign Language
Hearing and Speech Center of Northern California,Listen Up!,Specialized K-8,1234 Divisadero St.,District 6,94115,Days of Discovery,1234 Divisadero St.,94115,415-921-7658,6,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,X,X,,,,,American Sign Language
Hearing and Speech Center of Northern California,Listen Up!,Specialized K-8,1234 Divisadero St.,District 6,94115,Camp Hear We Come,333 Eucalyptus Dr.,94132,415-242-7100,7,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,X,X,,,,,American Sign Language
Hearing and Speech Center of Northern California,Transition Program for Youth with Hearing Loss,Specialized Teen,1234 Divisadero St.,District 6,94115,Hearing and Speech Center,1234 Divisadero St.,94115,415-921-7658,6,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,X,X,,,,,American Sign Language
Hearing and Speech Center of Northern California,Transition Program for Youth with Hearing Loss,Specialized Teen,1234 Divisadero St.,District 6,94115,Future Links,2355 Folsom St.,94110,415-695-5370,9,Public School,"O'Connell, John High School (9-12)",,,X,,,,,X,X,,,,,,,American Sign Language
Hearing and Speech Center of Northern California,Transition Program for Youth with Hearing Loss,Specialized Teen,1234 Divisadero St.,District 6,94115,Future Links,600 32nd Ave.,94121,415-750-8400,1,Public School,"Washington, George High School (9-12)",,,X,,,,,X,X,,,,,,,
Hearing and Speech Center of Northern California,Transition Program for Youth with Hearing Loss,Specialized Teen,1234 Divisadero St.,District 6,94115,Future Links,2162 24th ave.,94116,415-759-25700,4,Public School,"Lincoln, Abraham High School (9-12)",,,X,,,,,X,X,,,,,,,
Hearing and Speech Center of Northern California,Transition Program for Youth with Hearing Loss,Specialized Teen,1234 Divisadero St.,District 6,94115,Future Links,1150 Francisco St.,94109,415-749-3430,2,Public School,Galileo High School (9-12),,,X,,,,,X,X,,,,,,,
Hearing and Speech Center of Northern California,Transition Program for Youth with Hearing Loss,Specialized Teen,1234 Divisadero St.,District 6,94115,Future Link,3750 18TH Street,94114,415-241-6240,8,Public School,Mission High School (9-12),,,X,,,,,X,X,,,,,,,
"Horizons Unlimited of San Francisco, Inc.",Females Against Violence,Secondary Prevention,440 Potrero Ave.,District 9,94110,"Horizons Unlimited of San Francisco, Inc",440 Potrero Ave,94110,(415) 487-6700,9,Non-profit's owned or leased space (not faith-based),,,,X,,X,X,,X,X,,,,,,,
"Horizons Unlimited of San Francisco, Inc.",Jovenes Education & Empowerment Program,Specialized Teen,440 Potrero Ave.,District 9,94110,"Horizons Unlimited of San Francisco, Inc.","440 Potrero Ave., San Francisco, CA.",94110,(415) 487-6700,9,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,,
"Horizons Unlimited of San Francisco, Inc.",LifeWorks Employment Program,Youth Workforce Development_JJSI,440 Potrero Avenue,District 9,94110,"Horizons Unlimited of San Francisco, Inc.",440 Potrero Avenue,94110,(415) 487-6700,9,Non-profit's owned or leased space (not faith-based),,,,X,,X,,,X,X,,,,,,,
Huckleberry Youth Programs,Cole Street Clinic,Health and Wellness,3310 Geary Blvd.,District 2,94118,Huckleberry Youth Health Center,555 Cole Street,94117,415-386-9398,5,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,,X,,,,,
Huckleberry Youth Programs,Huckleberry Community Assessment and Referral Center (CARC),Diversion,44 Gough Street,District 6,94103,Huckleberry CARC,44 Gough St Ste. 104,94103,415-437-2500,6,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,X,X,,,X,X,
Huckleberry Youth Programs,Huckleberry House,Secondary Prevention,1292 Page St.,District 5,94117,Huckleberry House,1292 Page Street,94117,415-621-2929,5,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,,,,,,,
Huckleberry Youth Programs,Huckleberry House Case Management,Secondary Prevention,1292 Page Street,District 5,94117,Huckleberry House,1292 Page Street,94117,415-621-2929,5,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,,,,,,,
Huckleberry Youth Programs,Huckleberry Wellness Academy (HWA),Specialized Teen,555 Cole Street,District 5,94117,Huckleberry Youth Health Center,555 Cole Street,94117,(415) 386-9398,5,Non-profit's owned or leased space (not faith-based),,,,X,X,,,,X,X,,,,,,,
Hunters Point Family,Gilman Rec-Connect School Year,Comprehensive K-8 Community-Based Afterschool,1800 Oakdale Avenue,District 10,94124,Gilman,1 Bill Walsh Way,94124,(415) 573-8449,10,SF Recreation and Park facility,,X,X,X,,,,,X,,,,,,,,
Hunters Point Family,Gilman Rec-Connect Summer,Comprehensive K-8 Summer Learning,1800 Oakdale Avenue,District 10,94124,Gilman Playground,1 Bill Walsh Way,94124,(415) 468-4098,10,SF Recreation and Park facility,,X,X,,,,,,X,X,,,,,,,
Hunters Point Family,Girl Case Management,Diversion,1800 Oakdale Avenue,District 10,94124,Hunters Point Family,1800 Oakdale,94124,415-824-3225,10,Public or affordable housing site,,,X,X,,X,,,X,,,,,,,,
Hunters Point Family,GIRLS 2000,Comprehensive K-8 Community-Based Afterschool,1800 Oakdale Avenue,District 10,94124,GIRLS 2000,718 Kirkwood Avenue,94124,415-824-3225,10,Public or affordable housing site,,,X,X,,,,,X,,,,,,,,
Hunters Point Family,GIRLS 2000 Summer,Comprehensive K-8 Summer Learning,1800 Oakdale Avenue,District 10,94124,GIRLS 2000,718 Kirkwood Avenue,94124,415-824-3225,10,Public or affordable housing site,,,X,X,,,,,X,,,,,,,,
Hunters Point Family,Hunters Point Family Leadership Institute,Specialized Teen,1800 Oakdale Avenue,District 10,94124,Hunters Point Family,1800 Oakdale Avenue,94124,415-822-8895,10,Public or affordable housing site,,,X,X,,,,,X,,,,,,,,
Hunters Point Family,Multi-Support Services for Girls,Secondary Prevention,1800 Oakdale Avenue,District 10,94124,GIRLS 2000,718 Kirkwood Avenue,94124,415-824-3225,10,Public or affordable housing site,,,X,X,,X,,,X,,,,,,,,
Hunters Point Family,Ujamaa Employment & Entrepreneurship,Youth Workforce Development_JJSI,1800 Oakdale Ave.,District 10,94124,Hunters Point Family,1800 Oakdale Ave.,94124,415-822-8894,10,Other,,,,X,,X,,,X,,,,,,,,
Hunters Point Family,Young Men's Leadership Institute,Diversion,1800 Oakdale Avenue,District 10,94124,Peacekeepers/Safe Haven,59 Cameron way/90 Northrirdge,94127,415-725-9693,10,Public or affordable housing site,,,X,X,,X,X,,X,,,,,,,,
Indochinese Housing Development Corporation,Tenderloin Achievement Group - Summer,Comprehensive K-8 Summer Learning,340 Eddy Street #100,District 6,94102,375 Eddy Street,375 Eddy Street,94102,415-441-2873,6,Public or affordable housing site,,X,X,X,,,,,X,X,,,X,X,,X,
Inner City Youth,OMI R.I.T.E.S. (Reshaping Ideas Through Empowerment and Support),Diversion,96 Broad Street,District 11,94112,Inner City Youth,96 Broad Street,94112,415-587-4099,11,Non-profit's owned or leased space (not faith-based),,,,X,,X,X,,X,,,,,,,,
Inner City Youth,OMI Youth Resurgence Project for Specialized Teens,Specialized Teen,96 Broad Street,District 11,94112,ICY Learning Center,96 Broad Street,94112,415-587-4099,11,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,,,,,,
"Instituto Familiar de La Raza, Inc.",La Cultura Cura-Secondary Prevention-Case Management & Enrichment,Secondary Prevention,2919 Mission Street,District 9,94110,"Instituto Familiar de La Raza, Inc",2919 Mission Street,94110,415. 229. 0500,9,Non-profit's owned or leased space (not faith-based),,X,X,X,X,X,X,,X,X,,,,,,,
"Instituto Familiar de La Raza, Inc.",Latinas Unidas,Teen- English Language Learner,2919 Mission Street,District 9,94110,S.F. International H.S,1050 York Street,94110,415. 695. 5781,9,,S.F. International High School (9-12),,,X,,,,,X,X,,,,,,,
"Jamestown Community Center, Inc.",SF TEAM at Cesar Chavez Elementary School,SFTEAM_NEW,3382 26th Street,Unassigned,94110,,,,,,,,,,,,,,,,,,,,,,,
"Jamestown Community Center, Inc.",Soccer for All,Specialized K-8,3382 26th Street,District 9,94110,Jamestown Community Center,3382 26th Street,94110,415-647-4709,9,SF Recreation and Park facility,,X,X,,,,,,X,X,,,,,,,
"Jamestown Community Center, Inc.",Summer ExCEL @ Buena Vista Horace Mann K-8 School,EXCEL Match Summer,3382 26th Street,District 9,94110,Buena Vista Horace Mann K-8 School,3351 23rd Street,94110,415-695-5881,9,Public School,Buena Vista/Horace Mann (K-8),,X,,,,,,X,X,,,,,,,
"Jamestown Community Center, Inc.",Summer ExCEL @ Cesar Chavez,EXCEL Match Summer,3382 26th Street,District 9,94110,Cesar Chavez K-5,825 Shotwell Street,94110,415-695-5881,9,Public School,"Chavez, Ceasar Elementary School (K-5)",,X,,,,,,X,X,,,,,,,
"Jamestown Community Center, Inc.",Summer Voyage,Comprehensive K-8 Summer Learning,3382 26th Street,District 9,94110,Buena Vista Horace Mann K-8,3351 23rd Street,94110,415-695-5881,9,Public School,Buena Vista/Horace Mann (K-8),,X,,,,,,X,X,,,,,,,
"Jamestown Community Center, Inc.",SY EXCEL @ Buena Vista Horace Mann K-8 School,ExCEL Match School Year,3382 26th Street,District 9,94110,Buena Vista Horace Mann K-8 School,3351 23rd Street,94110,415-695-5881,9,Public School,Buena Vista/Horace Mann (K-8),,X,,,,,,X,X,,,,,,,
"Jamestown Community Center, Inc.",SY EXCEL @ Cesar Chavez Elementary School,ExCEL Match School Year,3382 26th Street,District 9,94110,Cesar Chavez,825 Shotwell Street,94110,415-695-5881,9,Public School,"Chavez, Ceasar Elementary School (K-5)",,X,,,,,,X,X,,,,,,,
"Jamestown Community Center, Inc.",SY EXCEL @ James Lick Middle School,ExCEL Match School Year,3382 26th Street,District 9,94110,James Lick Middle School,1220 Noe Street,94114,415-695-5675,8,Public School,"Lick, James Middle School (6-8)",,X,,,,,,X,X,,,,,,,
Japanese Community Youth Council,Japantown Youth Leaders (JYL),Specialized Teen,"1840 Sutter Street, Suite 207",District 5,94115,JCYC Pine Street,2012 Pine Street,94115,415-563-8052,5,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,,,,,,
Japanese Community Youth Council,Mayor's Youth Employment and Education Program (MYEEP),MYEEP,2012 Pine Street,District 5,94115,Bernal Heights Neighborhood Center,515 Cortland,94110,415.206.2140,9,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,,,X,,X,
Japanese Community Youth Council,Mayor's Youth Employment and Education Program (MYEEP),MYEEP,2012 Pine Street,District 5,94115,Buchanan YMCA,1530 Buchanan Street,94109,415.931.9622,5,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,,,,,,
Japanese Community Youth Council,Mayor's Youth Employment and Education Program (MYEEP),MYEEP,2012 Pine Street,District 5,94115,Japanese Community Youth Council,2012 Pine Street,94115,415.202.7903,5,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,,,,,,
Japanese Community Youth Council,Mayor's Youth Employment and Education Program (MYEEP),MYEEP,2012 Pine Street,District 5,94115,Horizons Unlimited,440 Potrero Avenue,94110,415.487.6715,10,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,,
Japanese Community Youth Council,Mayor's Youth Employment and Education Program (MYEEP),MYEEP,2012 Pine Street,District 5,94115,Jewish Vocational Service,225 W Bush Street,94104,4157826214,3,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,,,,,,
Japanese Community Youth Council,Mayor's Youth Employment and Education Program (MYEEP),MYEEP,2012 Pine Street,District 5,94115,Community Youth Center,319 6th Avenue,94118,415.752.9675,1,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,X,,,,,
Japanese Community Youth Council,Mayor's Youth Employment and Education Program (MYEEP),MYEEP,2012 Pine Street,District 5,94115,Community Youth Center-Chinatown,855 Sacramento Street,94108,415.576.9622,3,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,X,X,,,,,
Japanese Community Youth Council,Mayor's Youth Employment and Education Program (MYEEP),MYEEP,2012 Pine Street,District 5,94115,Vietnamese Youth Development Center,166 Eddy Street,94102,415.771.2600,6,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,,,X,,,
Japanese Community Youth Council,Mayor's Youth Employment and Education Program (MYEEP),MYEEP,2012 Pine Street,District 5,94115,Visitacion Valley Middle School,450 Raymond Avenue,94110,415.452.4928,10,Other,,,,X,,,,,X,,,,,,,,
Japanese Community Youth Council,Mayor's Youth Employment and Education Program (MYEEP),MYEEP,2012 Pine Street,District 5,94115,Young Community Developers,1715 Yosemite Avenue,94110,415.822.3491,10,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,,,,,,
Japanese Community Youth Council,Mayor's Youth Employment and Education Program (MYEEP),MYEEP,2012 Pine Street,District 5,94115,OMI Excelsior Beacon,241 Oneida Avenue,94112,415.406.1290,11,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,,,,,,
Japanese Community Youth Council,San Francisco YouthWorks,YouthWorks,2012 Pine Street,District 5,94115,SFYouthWorks,2012 Pine Street,94115,415.202.7911,5,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,X,,,,,
Japanese Community Youth Council,STEM Academy @ ISA,Youth Workforce Development,2012 Pine Street,District 5,94115,JCYC STEM Academy,2012 Pine Street,94115,4152027903,5,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,,,,,X,
Jewish Community Center of San Francisco,Havurah Youth Center,Comprehensive K-8 Community-Based Afterschool,3200 California Street,Unassigned,94118,HYC,3200 California Street,94118,415,2,Non-profit's owned or leased space (not faith-based),,X,X,,,,,,X,X,X,X,,,X,,Hebrew
Jewish Vocational Service (JVS),School Partner Model,Youth Workforce Development_HS,"225 Bush Street, Suite 400",District 3,94104,Downtown High School,693 Vermont Street,94105,415-695-5860,10,Public School,Downtown High School (9-12),,,X,,,,,X,X,,,,,,,
Jewish Vocational Service (JVS),School Partner Model,Youth Workforce Development_HS,"225 Bush Street, Suite 400",District 3,94104,John O'Connell High School,2355 Folsom Street,94110,415-695-5370,9,Public School,"O'Connell, John High School (9-12)",,,X,,,,,X,X,,,,,,,
Jewish Vocational Service (JVS),School Partner Model,Youth Workforce Development_HS,"225 Bush Street, Suite 400",District 3,94104,Ida B. Wells,1099 Hayes Street,94117,415-241-6315,5,Public School,"Wells, Ida B. High School (9-12)",,,X,,,,,X,X,,,,,,,
Jewish Vocational Service (JVS),Work Resource Program (WRP),Youth Workforce Development,"225 Bush Street, 4th floor",Unassigned,94104,"Asawa, Ruth - San Francisco School of the Arts (SOTA)",555 Portola Drive,94131,(415) 695-5700,8,Public School,"Asawa, Ruth - San Francisco School of the Arts (SOTA) (9-12)",,,X,,X,,,X,X,,,,,,,
Jewish Vocational Service (JVS),Work Resource Program (WRP),Youth Workforce Development,"225 Bush Street, 4th floor",Unassigned,94104,Balboa High School,1000 Cayuga Avenue,94112,(415) 469-4090,11,Public School,Balboa High School (9-12),,,X,,X,,,X,X,,,,,,,
Jewish Vocational Service (JVS),Work Resource Program (WRP),Youth Workforce Development,"225 Bush Street, 4th floor",Unassigned,94104,Downtown High School,693 Vermont Street,94107,(415) 695-5860,9,Public School,Downtown High School (9-12),,,X,,X,,,X,X,,,,,,,
Jewish Vocational Service (JVS),Work Resource Program (WRP),Youth Workforce Development,"225 Bush Street, 4th floor",Unassigned,94104,Galileo High School,1150 Francisco Street,94109,(415) 749-3430,2,Public School,Galileo High School (9-12),,,X,,X,,,X,X,,,,,,,
Jewish Vocational Service (JVS),Work Resource Program (WRP),Youth Workforce Development,"225 Bush Street, 4th floor",Unassigned,94104,"Lincoln, Abraham High School",2162 24th Avenue,94116,(415) 759-2700,7,Public School,"Lincoln, Abraham High School (9-12)",,,X,,X,,,X,X,,,,,,,
Jewish Vocational Service (JVS),Work Resource Program (WRP),Youth Workforce Development,"225 Bush Street, 4th floor",Unassigned,94104,Lowell High School,1101 Eucalyptus Drive,94132,(415) 759-2730,7,Public School,Lowell High School (9-12),,,X,,X,,,X,X,,,,,,,
Jewish Vocational Service (JVS),Work Resource Program (WRP),Youth Workforce Development,"225 Bush Street, 4th floor",Unassigned,94104,"Marshall, Thurgood High School",45 Conkling Street,94124,(415) 695-5612,10,Public School,"Marshall, Thurgood High School (9-12)",,,X,,X,,,X,X,,,,,,,
Jewish Vocational Service (JVS),Work Resource Program (WRP),Youth Workforce Development,"225 Bush Street, 4th floor",Unassigned,94104,Mission High School,3750 - 18th Street,94114,(415) 241-6240,8,Public School,Mission High School (9-12),,,X,,X,,,X,X,,,,,,,
Jewish Vocational Service (JVS),Work Resource Program (WRP),Youth Workforce Development,"225 Bush Street, 4th floor",Unassigned,94104,"O'Connell, John High School",2355 Folsom,94110,(415) 695-5370,8,Public School,"O'Connell, John High School (9-12)",,,X,,X,,,X,X,,,,,,,
Jewish Vocational Service (JVS),Work Resource Program (WRP),Youth Workforce Development,"225 Bush Street, 4th floor",Unassigned,94104,"Washington, George High School",600 32nd Avenue,94121,(415) 750-8400,1,Public School,"Washington, George High School (9-12)",,,X,,X,,,X,X,,,,,,,
Jewish Vocational Service (JVS),Work Resource Program (WRP),Youth Workforce Development,"225 Bush Street, 4th floor",Unassigned,94104,"Wells, Ida B. High School",1099 Hayes Street,94117,(415) 241-6315,5,Public School,"Wells, Ida B. High School (9-12)",,,X,,X,,,X,X,,,,,,,
Jewish Vocational Service (JVS),Work Resource Program (WRP),Youth Workforce Development,"225 Bush Street, 4th floor",Unassigned,94104,Civic Center,300 Seneca Ave,94112,(415) 469-4040,11,Public School,Civic Center Secondary School (7-12),,,X,,,,,X,,,,,,,,
Jewish Vocational Service (JVS),Work Resource Program (WRP),Youth Workforce Development,"225 Bush Street, 4th floor",Unassigned,94104,Various non-public schools (NPS),various,94104,varies,3,Parochial or Independent School,,,,X,,,,,X,,,,,,,,
Juma Ventures,Pathways to Advancement - Youth Workforce Development for Educational Success,Youth Workforce Development,131 Steuart St.,Unassigned,94105,Juma SF Headquarters,"131 Steuart Street, Suite 201",94105,(415) 371-0727,6,Non-profit's owned or leased space (not faith-based),,,,X,,X,,,X,X,X,X,,X,X,,Arabic
Larkin Street Youth Services,3rd Street Youth Center and Clinic,Specialized Teen,1728 Bancroft Avenue,Unassigned,94124,3rd Street Youth Center and Clinic,1728 Bancroft Avenue,94124,415-822-1707,10,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,,,,,,,,
Larkin Street Youth Services,Emergency Housing,Shelter,"701 Sutter Street, Suite 2",Unassigned,94109,Lark Inn Shelter For Youth (Emergency Housing Program),869 Ellis Street,94109,4157492968,3,Non-profit's owned or leased space (not faith-based),,,,,,X,X,,X,X,,,,,,,
Larkin Street Youth Services,"Future Track for Diamond Youth Shelter and Larkin Drop In Center, and Future Track for the LOFT",Specialized Teen,"701 Sutter Street, Suite 2",District 3,94109,Larkin Street Drop In Center,1138 Sutter STreet,94109,415 673 0911 x252,3,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,,
Larkin Street Youth Services,Larkin Street Hire Up Alternative Education GED Program,Alternative Education,1154 Sutter Street,District 3,94109,HIRE Up Education GED Program,1154 Sutter Street,94109,415 673 0911 ext 217,3,Non-profit's owned or leased space (not faith-based),,,,X,,X,X,,X,X,,,,,,,
Lavender Youth Recreation and Information Center (LYRIC),Sequoia Leadership Institute for Teen- LGBTQQ and Ally Youth (SLI),Youth Workforce Development,127 Collingwood Street,Unassigned,94114,LYRIC,127 Collingwood Street,94114,415-703-6150,8,Non-profit's owned or leased space (not faith-based),,,,X,,X,,,X,X,,,,,,,
Lavender Youth Recreation and Information Center (LYRIC),Teen- LGBTQQ and Ally Youth Community Building Program,Specialized Teen,127 Collingwood Street,District 8,94114,LYRIC,127 Collingwood Street,94114,415-703-6150,8,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,,
